Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,-0.545142355037,-0.051022294344,186.773030181,-0.000760256330187,0.000333919304793,0
2,-0.0547776727002,-0.589162591203,183.621503309,-0.000164701328863,-0.00230057393668,0
3,0.852827457452,-0.5056132785,174.806665759,0.266906077237,0.0304678849796,357.823614526
4,1.16486810623,-0.562392636417,166.804664809,0.535474408549,-0.00661278049934,349.069089595
5,1.23557758381,-0.436829247638,170.04543471,0.62880376664,-0.0141519533744,346.847889354
6,1.53098306137,-0.71047104913,194.064539429,0.926443242378,-0.164323332394,328.912338302
7,1.4206896613,-0.437440121523,204.638539842,1.00591723485,-0.14961457457,328.912338302
8,1.50670251369,-0.425689216134,210.326182434,1.01278321543,-0.185226476694,331.474231317
9,1.64115571006,-0.527505150779,216.293320312,1.21678850219,-0.320842309441,326.987497454
10,1.4908386992,-0.31898891046,261.393267106,1.32228241396,-0.367873675165,326.987497454
11,1.7382963042,-0.251956459662,272.861923698,1.45248431312,-0.410802093636,313.753366024
12,1.75996854666,-0.221306963818,281.400623582,1.53189318021,-0.488626303835,312.345563415
13,1.86268411624,-0.342857869291,295.65664639,1.66313889119,-0.717162488713,303.354418995
14,1.94182381558,-0.410061361395,300.848276518,1.78053719574,-0.856025111344,306.961984359
15,2.02079498978,-0.4644060962,300.236258001,1.91447147593,-1.00324623131,306.279104575
16,2.12628072892,-0.62792607985,299.903925899,2.04411374952,-1.24454490234,307.019055886
17,2.16049578338,-0.638674260717,298.776888547,2.10893589079,-1.33488090234,307.50293816
18,2.26805439707,-0.76534105955,299.898239045,2.26088319153,-1.56669248979,311.948332339
19,2.41107538805,-0.80843448798,297.704949603,2.4170536306,-1.68331160806,313.70385147
20,2.5300184904,-0.859779343153,293.003484371,2.56764746542,-1.7994121363,310.367137089
21,2.67724123198,-1.04242807987,290.739295385,2.72697948469,-2.04091015006,311.284591883
22,2.71989022437,-1.10233126096,284.651825177,2.81873225217,-2.20705161739,307.451544454
23,2.86399454306,-1.27810920249,274.794844535,2.97391896856,-2.40605602517,298.949890344
24,2.90529661571,-1.26684406806,309.925048757,3.0135733265,-2.34270128288,334.806169886
25,2.84667651247,-1.34227774682,230.335241038,3.01207824506,-2.45292386259,11.4527201607
26,2.9147781229,-1.18429165364,271.902377775,2.97698782406,-2.36998312278,11.4527201607
27,2.87302892303,-1.65245247652,164.162035622,2.95290294504,-2.33888238645,11.4527201607
28,2.82135583356,-1.73018491748,41.4641923574,3.0399244505,-2.43722002668,47.1995566197
29,2.83029609888,-1.98337812583,51.6077199919,3.03839515764,-2.43133966358,47.1995566197
