Update,AvgX,AvgZ,AvgAngle,RobotX,RobotZ,RobotAngle
1,0.578440231653,-0.459906995156,177.862489064,0.000982313772889,0.000164246710272,0
2,0.164009685272,-0.96549618262,168.810786634,0.000556920073063,-0.00323790181813,0
3,0.0743061723407,-0.700547254056,193.042061493,0.171390263911,0.0243742934007,11.1050990349
4,0.702295399387,-1.42555607909,155.020237459,0.307691266677,0.0714741356805,3.17302794032
5,0.957237800266,-1.17902627062,174.573416981,0.552252015365,0.0635569910019,4.20190020708
6,1.13590044637,-1.8003632283,119.946320888,0.638748127187,0.0964320682557,4.20190020708
7,1.378421465,-1.7983613209,109.05903718,0.901037868551,0.0594507981466,357.662127258
8,1.30743168707,-1.45502792944,118.379767924,0.953432807939,0.00648248513752,341.423458606
9,1.52354107234,-1.83395570786,96.3502333057,1.04430539921,0.0134941604021,342.915146451
10,1.74416560788,-1.94247117873,87.521873286,1.26017704362,-0.0636799738254,334.020596976
11,1.66368122512,-1.63664383278,78.6786709707,1.34479297681,-0.0857089112485,334.020596976
12,1.7436508761,-1.06236407087,229.297306405,1.52568305561,-0.239642540882,321.443250245
13,1.73811105105,-0.718706058072,264.136402761,1.59568773157,-0.318894630223,317.731818543
14,1.8612683265,-0.687347351633,283.366717253,1.79458839962,-0.428979899494,309.974189576
15,1.93279014099,-0.66032376199,282.209195474,1.89895341985,-0.548162771878,308.593300494
16,2.0460317036,-0.765095057654,277.46250964,2.0230324446,-0.747125917441,305.19853428
17,2.20167912226,-0.904316537571,272.133319877,2.18879536976,-0.965739796431,300.907898193
18,2.25273143834,-0.998444850695,272.072948989,2.24800546595,-1.0739492241,301.328831273
19,2.42952517508,-1.20806226057,277.355488324,2.43100994358,-1.29349348205,306.869090254
20,2.49067261392,-1.33116414097,279.576046253,2.48554172799,-1.41309629184,309.240049646
21,2.62511105679,-1.53561979532,280.383486437,2.60315314878,-1.62173275867,309.240049646
22,2.78969486994,-1.75117959687,268.566376469,2.79703261495,-1.88016550969,298.230379862
23,2.84812961637,-1.8503668051,270.34600363,2.81350379852,-1.97091100633,300.010007022
24,3.02127772327,-2.21189177112,263.985355346,3.02019867204,-2.40683309374,293.649358738
25,3.01183569756,-2.34126453969,302.6169437,3.00295898736,-2.42995862931,293.649358738
26,3.01183569756,-2.34126453969,302.6169437,3.00560324329,-2.32324993369,332.280947092
27,3.01930354414,-2.25698534639,351.107179252,3.01333309771,-2.33826519735,20.7711826444
28,3.01930354414,-2.25698534639,351.107179252,3.01942188153,-2.35683730896,20.7711826444
29,3.01930354414,-2.25698534639,351.107179252,3.01371006341,-2.37900261478,20.7711826444
30,3.01610055649,-2.28740622073,21.2169111108,3.00440687007,-2.36457180348,50.8809145031
